1040,-396,112
1020,-376,148
636,-352,212
760,-532,156
1372,-216,244
872,-208,216
968,-496,276
1660,-100,148
1508,-188,1092
1032,-64,112
972,-312,208
1008,-228,436
1152,-196,488
1052,-88,252
1120,180,-4
1176,12,108
1284,40,-540
1132,136,-8
1192,152,-300
1100,104,-492
1104,104,-264
1108,144,-556
888,164,-220
732,44,-560
1032,48,-412
920,32,-492
884,88,-348
780,8,-324
452,-336,-2040
168,-500,-1644
272,-376,-324
1016,344,992
224,400,1096
412,-64,500
-532,-268,-2040
-68,-368,-876
0,-516,-1088
-60,-464,-240
-152,180,-948
-260,-168,-1700
-72,-124,-1432
48,-28,-1480
-124,-156,-1516
-92,4,-1368
0,-128,-1396
-512,-1352,-1040
-208,-780,-1192
-176,-828,-1164
-320,-768,-1104
-504,-436,-304
12,124,-2040
-728,1128,-204
-176,732,-512
-668,-356,-368
-584,-20,-1088
-560,344,-768
-512,712,-868
-488,680,-752
-452,540,-844
-404,328,-752
-344,496,-1036
-348,536,-1252
-264,252,-1260
-268,236,-1140
-276,116,-1088
-384,136,-1108
-400,60,-1120
-380,44,-840
-444,224,-952
-392,420,-976
-432,292,-940
-428,148,-680
-412,12,-1200
-248,300,-928
-420,216,-1188
-472,128,-892
-340,208,-1032
-368,56,-1000
-268,256,-1172
-204,452,-964
-244,588,-872
-512,20,-820
-216,148,-1548
-252,268,-1044
-228,252,-1172
-236,336,-1072
-316,432,-884
-200,372,-980
-356,408,-904
-272,316,-956
-324,276,-640
-428,712,-848
-208,724,-644
-228,576,-716
-276,380,-1064
-212,380,-900
-128,928,-1012
-72,520,-1432
-200,668,-788
-212,880,-828
-288,944,-644
-116,856,-268
-384,1048,-1140
-288,964,-4
-72,1056,-204
-144,1016,-184
-548,704,-12
-224,720,188
-264,660,400
-512,688,448
132,684,1012
-376,540,692
-304,640,284
-332,508,408
-184,752,344
-308,584,672
-128,712,528
-248,584,524
68,172,544
84,496,1336
-56,1324,588
300,712,52
1456,1396,2040
-192,116,1468
-120,792,752
-56,1152,928
76,604,820
-76,308,932
12,680,1056
-4,712,960
-32,680,860
52,396,192
0,764,656
96,744,916
116,868,836
12,840,804
56,716,904
116,624,856
72,512,808
24,620,692
72,644,900
8,672,768
20,700,696
32,636,848
0,580,876
4,488,1056
48,564,856
188,600,696
120,564,648
-136,552,820
-16,648,948
68,532,992
116,520,908
-100,116,1308
-56,376,1044
12,344,944
88,220,612
204,200,824
-112,144,1036
-64,28,1164
-192,-12,948
100,-12,964
72,-4,880
-20,-12,1036
-40,-44,1144
-100,-68,1100
-16,-16,1140
40,-112,1044
-36,-156,1080
-28,-168,1012
36,-220,1008
-48,-212,1020
-16,-236,944
-56,-264,1004
-40,-316,920
12,-292,904
-24,-328,924
-48,-384,900
-56,-492,1188
4,-332,892
-28,-284,872
-56,-312,860
-36,-284,924
